Access. No. or location,Species,Record number,Unique identified,Host,Host code number,Height,No. branches,Branches branched,Nodes to flower inc coty,No. teeth lower floral leaf,Flower colour,Corolla length,Corolla width,Standard corolla l,Glandular hairs,Cauline leaf teeth,Cauline leaf length,Cauline internode length,Inferred flower date,Flower date cal,Julian days to flower,Height_end_season,Peat_no_peat,Early season growth,Nodes to flower,First flower date,Number of branches
North Berwick,Euphrasia arctica,136,131,Plantago lanceolata,4,11,1,0,11,2,0,,,5.5,0,2,4,2,22-Aug,42604,234,30,1,,11,234,1
North Berwick,Euphrasia arctica,137,95,Equisetum,6,8,0,0,10,2,0,,,6,0,2,3,1,21-Aug,42603,233,,1,,10,233,0
North Berwick,Euphrasia arctica,140,104,liverwort,7,8,0,0,10,1,0,7,,6,0,2,2,1,25-Aug,42607,237,16,1,,10,237,0
North Berwick,Euphrasia arctica,142,75,Holcus lanatus,5,17,0,0,11,2,0,,,6.5,0,2,4,2.5,24-Aug,42606,236,26,1,,11,236,0
North Berwick,Euphrasia arctica,143,22,Plantago lanceolata,4,10,0,0,9,3,0,,,6,0,3,4,1.5,25-Aug,42607,237,24,1,,9,237,0
North Berwick,Euphrasia arctica,144,172,Arabidopsis thaliana,3,8,0,0,7,2,0,,,,0,2,2.5,1,25-Aug,42607,237,7,1,7,7,237,0
North Berwick,Euphrasia arctica,145,93,Holcus lanatus,5,13,0,0,11,2,0,,,6,0,2,3,1,01-Sep,42614,244,12,1,,11,244,0
North Berwick,Euphrasia arctica,146,39,Holcus lanatus,5,8,0,0,9,2,0,,,5.5,0,2,2.5,1.5,31-Aug,42613,243,8,1,,9,243,0
North Berwick,Euphrasia arctica,147,68,Equisetum,6,17,0,0,11,2,0,,,6,0,2,4,1,29-Aug,42611,241,18,1,,11,241,0
North Berwick,Euphrasia arctica,148,102,Holcus lanatus,5,19,0,0,11,2,0,,,6,0,2,2.5,1.5,27-Aug,42609,239,16,1,,11,239,0
North Berwick,Euphrasia arctica,150,279,Festuca,2,21,1,0,9,3,0,,,6.5,0,3,5,1.5,26-Aug,42608,238,33,1,3,9,238,1
North Berwick,Euphrasia arctica,151,45,Festuca,2,23,0,0,13,3,0,,,6.5,0,3,4,2.5,28-Aug,42610,240,46,1,,13,240,0
North Berwick,Euphrasia arctica,152,76,Pinus sylvestris,8,7,0,0,11,2,0,,,5.5,0,2,2,0.5,30-Aug,42612,242,25,1,,11,242,0
North Berwick,Euphrasia arctica,154,276,Holcus lanatus,5,27,1,0,11,2,0,,,6.5,0,2,4,2,30-Aug,42612,242,45,1,3,11,242,1
North Berwick,Euphrasia arctica,155,130,Equisetum,6,23,0,0,8,3,0,,,7,0,2,4,2.5,01-Sep,42614,244,39,1,,8,244,0
North Berwick,Euphrasia arctica,156,43,Pinus sylvestris,8,10,0,0,12,2,0,,,5.5,0,2,2.5,1,31-Aug,42613,243,11,1,,12,243,0
North Berwick,Euphrasia arctica,158,127,Arabidopsis thaliana,3,8,0,0,9,2,0,,,4,0,2,2,0.5,30-Aug,42612,242,9,1,,9,242,0
